50	When Gary Hinman sold a bad batch of mescaline to Manson member Bobby Beausoleil, Manson ordered Beausoleil to kill him. Beausoleil left a bloody hand print at the murder scene in an attempt to frame what extreme political group?		4	The Black Panthers
51	Sharon Tate's husband was out of town on the night of the murders. Who was he?		4	Roman Polanski
52	What were the names of the presidential running-mates that took office in January, 1969?		8	Richard Nixon and Spiro Agnew
53	The third AFL-NFL championship game and the first to be officially called the "Super Bowl" was played in January 1969. Name the winning team.		6	The New York Jets
54	In April, 1969 this man was sentenced to death for an assassination committed on June 5th, 1968. His sentence was later reduced to life in prison which he is currently serving in San Diego, CA.		8	Sirhan Sirhan
55	In May 1969, the film Midnight Cowboy, the only X-rated movie to win an Academy Award in any category, actually won 3 Oscars. Name the categories for 1 point each.		5	Best Picture, Best Director, Best Adapted Screenplay
56	In June 1969, the episode Turnabout Intruder aired as the final first-run episode of what TV series?		4	Star Trek
57	Name the only Apollo 11 astronaut that did not set foot on the moon on July 21st, 1969.		2	Michael Collins
58	In August 1969, rioting in Northern Ireland signaled the start the 30 year conflict known as The Troubles or the Northern Ireland Conflict. For a point each name the two main political entities involved in the conflict.		2	Irish Republican Army (IRA, INLA, IPLO) & Ulster Loyalists (UVF, UDA, RHC, UR, LVF)
59	This killer first made contact with California newspapers in August, 1969 demanding that they publish a cryptogram on the front page. Although the killer continued to taunt authorities with letters and ciphers through 1974, he or she has still not been caught.		2	The Zodiac Killer
60	The Brady Bunch premiered in September 1969 and was known for the title sequence containing a 3x3 grid of character's faces. Name the only non-Brady character in the grid.		4	Alice Nelson
61	What was the full name of the British sketch comedy series that premiered on BBC in October and inspired four feature films.		4	Monty Python's Flying Circus
62	This boxer beat Jersey Joe Walcott in 1952 to win the world heavyweight championship which he successfully defended six times. Died August 31, 1969.		6	Rocky Marciano
63	This founding member of the Rolling Stones drowned in his pool a month after being asked to leave the band. Died July 3, 1969.		4	Brian Jones
64	This author's greatest work portrayed the barely fictionalized account of road trips to Chicago, Los Angeles, Denver, and Mexico City packed with sex, drugs, and jazz. Died October 21, 1969.		5	Jack Kerouac
65	This actress's career was plagued by substance abuse and relationship troubles before and after her Academy Award winning performance in an enduring 1939 film. Died June 22, 1969.		5	Judy Garland
66	This 34th President of the United States died at Walter Reed Army Hospital in Washington, D.C. Died March 28, 1969.		2	Dwight D. Eisenhower
67	This early horror film actor was at his peak in the 30's era films Frankenstein, The Mask of Fu Manchu, and The Mummy. Died February 2, 1969.		5	Boris Karloff
68	This political leader declared Vietnam's independence in 1945 and became president in 1954. Died September 3, 1969.		8	Ho Chi-Minh
69	This New York Mafia figure rose to the top of a prominent crime family with partner Lucky Luciano. He was eventually arrested on narcotics charges and died in a Missouri prison. Died February 14, 1969.		2	Vito Genevese
70	This American comedy director made 19 films with Laurel and Hardy. He is also noted for films starring the Marx Brothers, W.C. Fields, and George Burns. Died July 5, 1969.		5	Leo McCarey
71	This musician and actor known as "The King of Western Swing" was convicted of murdering his wife in 1961. He suffered a fatal heart-attack while on furlough from prison to play a benefit concert for the Deputy Sheriffs Association of Alameda County, CA. Died November 23, 1969.		4	Donnell Clyde "Spade" Cooley
72	What is the most common element in the Earth's atmosphere?		3	Nitrogen (78%)
73	In classical mechanics, what is defined as the product of an object's mass and velocity?		3	Momentum
74	Which of the following is NOT a simple machine: Wedge, Pulley, Screw, Hammer?		3	Hammer
75	True or False? All radioactivity is man-made.		3	False
76	Which is smaller: atoms or electrons?		1	Electrons
77	In which medium does sound travel fastest? Water, Space, Air.		3	Water
78	In which medium does light travel fastest? Water, Space, Air.		3	Space
79	Rocks are classified into three types: igneous, sedimentary, and what?		3	Metamorphic
80	Mars is often described as the Red Planet due to the abundance of what element on its surface?		3	Iron
81	Approximately how long does it take light from the sun to reach Earth?		3	8 minutes
82	A relation in which every input (domain) value is paired with exactly one output (range) value is called what?		3	A Function
83	What name is given to a fraction whose numerator is greater than or equal to its denominator?		3	Improper Fraction
84	This value is found by adding the values in a set of data and then dividing by the total number of such values.		3	Mean (Average)
85	An angle greater than 90 degrees and less than 180 degrees is called what?		3	An Obtuse Angle
86	What's the name for the point (0,0) on a two-dimensional coordinate grid.		3	The Origin
87	What do you call a number greater than 1 that has exactly two different factors (1 and itself).		3	A Prime Number
88	The value that occurs most frequently in a set of data is known by what term.		3	The Mode
89	An angle less than 90 degrees is called what?		3	An Acute Angle
90	What's the term for two numbers used to locate a point on a coordinate grid listed in a specific order e.g. (X,Y).		3	An Ordered Pair
91	This is the general term to describe the moving of a figure by translation, rotation, or reflection.		3	Transformation
92	#39 "Time of the Season"		1	The Zombies
93	#33 "Easy to be Hard"		5	Three Dog Night
94	#26 "In the Year 2525"		5	Zager & Evans
95	#21 "It's Your Thing"		5	The Isley Brothers
96	#18 "Suspicious Minds"		5	Elvis Presley
97	#14 "Too Busy Thinking About My Baby"		5	Marvin Gaye
98	#10 "Crimson and Clover"		5	Tommy James and the Shondells
99	#4 "Honky Tonk Women"		5	The Rolling Stones
100	#2 Aquarius/Let The Sunshine In (The Flesh Failures)		5	The 5th Dimension
101	#1 Sugar, Sugar		5	The Archies
102	In what state was Woodstock held?		5	New York
103	What group featuring Rod Stewart and Ronnie Wood split on the eve of their Woodstock performance?		5	The Jeff Beck Group
104	How much was Jefferson Airplane paid for their appearance? A. $12,000, B. $17,000, C. $20,000, D. $24,000		5	A: $12,000
105	2 people died during Woodstock. For a point each name the causes of death.		5	Heroin overdose and run over by a tractor
106	There have been 4 attempts to recreate Woodstock. Name the years.		1	1979, 1989, 1994, 1999
107	How much did a 3-day pass to Woodstock cost? A. $9, B. $18, C. $21, D. $27		5	$18
108	Carlos Santana admits to taking a dose of what before performing at Woodstock causing him to peak during his performance and imagine his guitar neck turned into a snake?		5	Mescaline
109	Joni Mitchell did not perform at the festival but wrote the song "Woodstock" which became a hit for what band?		5	Crosby, Stills, Nash, and Young
110	Who was Woodstock's closing act and what was their closing song?		5	Jimi Hendrix/The Star Spangled Banner
111	What was the tagline on Woodstock posters?		5	"An Aquarian Exposition: Three Days of Peace and Music"
112	Who was President of the Confederate states during the US Civil War?		2	Jefferson Davis
113	In May 1953, what New Zealand mountaineer was the first person to reach the summit of Mount Everest?		2	Sir Edmund Hillary
114	What two states donated land to create Washington D.C.		2	Maryland and Virginia
115	The first atomic bomb attack was on which city?		2	Hiroshima
116	The League of Nations was formed at the conclusion of what war?		2	World War I
117	Who was the only person to be elected U.S. President 4 times?		2	Franklin Roosevelt
118	Charles Lindbergh flew the first solo nonstop transatlantic flight from New York to what city?		2	Paris, France
119	The 100 years war in the 14th and 15th centuries was primarily fought between what two nations?		2	England and France
120	Who became the first chairman of the People's Republic of China in 1954?		2	Mao Zedong
121	The 16th century astronomer Nicolaus Copernicus was born in what country?		2	Poland (Royal Prussia)
122	"Eye of the Tiger" - Survivor		5	Rocky III
123	"Don't You (Forget About Me)" - Simple Minds		5	The Breakfast Club
124	"The Power of Love" - Huey Lewis and the News		5	Back to the Future
125	"Lose Yourself" - Eminem		5	8-Mile
126	"I Will Always Love You" - Whitney Houston		5	The Bodyguard
127	"(Everything I Do) I Do it For You" - Bryan Adams		5	Robin Hood: Prince of Thieves
128	"Gangsta's Paradise" - Coolio		5	Dangerous Minds
129	"When Doves Cry" - Prince		5	Purple Rain
130	"Blaze of Glory" - Jon Bon Jovi		5	Young Guns II
131	"After the Flesh" - My Life with the Thrill Kill Kult		5	The Crow
132	1972, details the plight of a widowed field mouse who seeks the aid of a group of literate and technologically advanced laboratory rats in rescuing her home from destruction by a farmer's plow.		5	Mrs. Frisby and the Rats of Nimh
133	1987, Jemmy, an orphan, is whipped whenever Prince Horace disobeys. When they are kidnapped and identities are mistaken, the prince learns a lesson about the world and they eventually return to the castle as friends.		5	The Whipping Boy
134	This 1960 story by Scott O'Dell is based on the true story of Juana Maria, a Nicoleño Native American left alone for 18 years on San Nicolas Island off the California coast during the 19th century.		5	Island of the Blue Dolphins
135	This 1963 Madeleine L'Engle story revolves around a young girl whose father, a government scientist, has gone missing after working on a mysterious project called a tesseract.		5	A Wrinkle In Time
136	This 1978 Newberry winner is about two lonely children Jessie Aarons and Leslie Burke who create a magical forest kingdom.		5	Bridge to Tarabithia
137	This 1924 book is the account of orphan Phil Marsham and his in and outs with the pirates life.		5	The Dark Frigate
138	This 1970 Newberry winner is named after the main character, a poor black sharecroppers dog. The majority of the story involves the sharecropper's son searching for the lost hound.		5	Sounder
139	In this 1999 book, Stanley Yelnats is sent to the boys detention center at Camp Green Lake where the boys are forced to laboriously search for something hidden beneath the dry rocky ground.		5	Holes
140	This 2004 book is the story of A brave mouse, a covetous rat, a wishful serving girl, and a princess named Pea. It was adapted into an animated film released in 2008.		5	The Tale of Despereaux: Being the Story of a Mouse, a Princess, Some Soup, and a Spool of Thread
141	In this 2009 Neil Gaiman novel, Nobody Owens is the only living resident of a graveyard raised by ghosts, werewolves, and other cemetery denizens.		1	The Graveyard Book
142	What gift did Galadriel give to Gimli when the Fellowship left Rivendell?		5	Three hairs from her head
143	Name the mysterious dweller of the Old Forest that helps the four Hobbits as they leave the Shire.		5	Tom Bombadil
144	The Palantiri were seeing-stones located at Orthanc, Osgiliath, and several other places. How many were there total?		5	Seven
145	Isildur's sword Narsil was broken defeating Sauron at the end of the second age. It was reforged at Rivendell and given to Aragorn who renamed it what?		1	Anduril
146	What was the name of the forest that the Ents dwelled in at the end of the third age?		5	Fangorn Forest
147	What was Gollum's real name?		5	Smeagol
148	For a point each, name the members of The Fellowship of the Ring that were not Hobbits (there are 5).		5	Gimli, Legolas, Aragorn, Boromir, Gandalf
149	What was the name of the inn in the village of Bree?		5	The Prancing Pony Inn.
150	What is the elves name for Gandalf?		5	Mithrandir
151	For 1 point, how many Istari (i.e. wizards) were there? For 1 point per pair, name the wizard and the color of his cloak.		1	Gandalf (grey, white), Saruman (white, many colors), Radagast (brown), Allatar and Palando (sea-blue)
152	"Phans" of this jam-band follow them on tour because it is said that no two shows are the same.		5	Phish
153	The name of this band's fanbase was coined during a 1994 performance by Violent J and Shaggy 2 Dope of the song "The Juggla".		5	Insane Clown Posse
154	This author's Sandman #19 was the first comic to win a literary award in 1991.		5	Neil Gaiman
155	True fans will know that writers of this HBO series named every episode after a pop or christian song.		5	True Blood
156	The subjects of this series journeyed on a craft designated "NCC-1701".		5	Star Trek
157	This writer/director gained a huge fan following with the series' Firefly and Buffy the Vampire Slayer. Most recently, he is notable for directing the Avengers films.		5	Joss Whedon
158	This long-running show has employed 12 different actors in the title role. Each character change is explained as a regeneration into a new incarnation.		5	Dr. Who
159	This fan-favorite series of books and films has inspired a variety of popular fan-fiction including "Beautiful Bastard", "Gabriel's Inferno", and "50 Shades of Grey".		5	Twilight
160	For a point each name the bastard surname associated with the following locations in Game of Thrones: the North, Dorne, Riverrun, Iron Islands.		5	Snow, Sand, Rivers, Pyke
161	Followers of this dangerous new fandom have suffered traffic accidents, shootings while trespassing, and walking off of cliffs.		4	Pokemon Go
162	The ghost of Griffendor's proper name is Sir Nicholas de Mimsy-Porpington. What is he known to the students as?		4	Nearly Headless Nick
163	What is the name of the popular game played at Hogwarts in which Harry played the position of seeker?		4	Quidditch
164	With whom did Hermione attend the Yule Ball?		4	Viktor Krum
165	The Nick Cave song "O Children" can be heard on which Harry Potter movie?		4	The Deathly Hallows
166	What are Harry's parents names?		4	Lily & James Potter
167	What is the name of Ruebeus Hagrid's boarhound?		4	Fang
168	What does Neville Longbottom give Harry to enable him to breathe underwater in the Tri-Wizard Tournament?		4	Gillyweed
169	Who killed Bellatrix LeStrange?		4	Molly Weasley
170	Name the Deathly Hallows.		4	The Elder Wand, The Cloak of Invisibility, The Resurrection Stone
171	Hogwarts is divided into 4 houses. Name them.		4	Gryffindor, Slytherin, Hufflepuff, Raven Claw
172	Name all 5 Pirates of the Caribbean movies including the one due to be released in 2017.		5	Curse of the Black Pearl, Deadman's Chest, At World's End, Stranger Tides, Dead Men Tell no Tales
173	Who is Will Turner's father?		5	Bootstrap Bill Turner
174	Jack Sparrow must get his ship back. What captain must he take it from?		5	Captain Barbosa
175	What is the name of Jack Sparrow's ship?		5	The Black Pearl
176	What captain plays his organ with the tentacles that extend from his cephalopod like head?		5	Davy Jones
177	What is the name of the ship manned by a crew of half man, half ocean creature hybrids?		5	The Flying Dutchman
178	This less than bright duo share the Aztec curse with the crew of the Black Pearl and provide comic relief to this movie franchise.		5	Pintel & Ragetti
179	What kind of monkey is the pirate monkey of the Black Pearl and what is his name?		5	Capuchin/Jack
180	Who was Elizabeth Swann engaged to before she married Will?		5	James Norrington
181	Who needed all the pirate lords to assemble to release her from her human bonds?		5	Calypso
182	The largest diamond ever found was the Cullinan with a uncut weight of 3,107 carats. It was cut into 9 major and 96 smaller stones which are currently a part of this collection.		2	The British Crown Jewels
183	What is the name of the largest cut diamond in the world, weighing over 545 carats and owned by the king of Thailand?		2	The Golden Jubilee
184	Many of the largest diamonds in the world including both diamonds from the previous questions were mined from the Premier Mine in this country.		2	South Africa
185	This infamous diamond now resides in the Smithsonian Museum of Natural History. Many believe it to be cursed because of the tragic misfortunes several of its past owners suffered.		2	The Hope Diamond
186	At 140 carats, the Regent diamond is not the biggest but it is considered the most beautiful diamond in the world. It has long been owned by French royalty and can now be viewed at this museum.		2	The Louvre
187	Rolls-Royce is well known for their luxury automobiles. The company has also makes many other products focused on power and propulsion. Which of the following is not one of their products: nuclear submarines, solar power technology, nuclear power plant instrumentation, aircraft engines?		2	solar power technology
188	What is the name of the Rolls-Royce hood ornament?		2	The Spirit of Ecstasy
189	Charles Rolls was the first Briton to die in an aircraft accident in 1910. Name the aircraft he was piloting when he died.		2	Wright Flyer
190	Not all Rolls-Royce's are British-made. After WWI the company built a factory in this US state.		2	Massachusetts (Springfield)
191	Which of the following is not available as an option on a 2016 Rolls-Royce Phantom: a champaign flute compartment, wood veneer made from a tree on your own estate, pop-out umbrellas hidden in the doors,  a retractable golden hood-ornament.		2	Pop-out umbrellas (they're standard)
192	One of Jimmy Hendrix's first session jobs was playing for this artist's backing band. He was kicked out for showing off to much and detracting from the main attraction.		4	Little Richard
193	Name the rocker that once dressed Princess Diana up as a male model to sneak her into a London gay club.		4	Freddie Mercury
194	What well-known band has sold more t-shirts worldwide than albums?		4	Ramones
195	For a point each, name the two artists who have won Album Of The Year Grammy's in two consecutive years.		4	Frank Sinatra (1966, 1967), Stevie Wonder (1974, 1975)
196	Name the first group to be inducted into the Rock and Roll Hall of Fame when it was created in 1987.		4	The Coasters
197	Which rock guitarist was an uncredited extra in the film Sid & Nancy, the biopic of Sid Vicious: Mick Mars, Kirk Hammett, Slash, Dave Mustaine?		4	Slash
198	After Kurt Cobain's death, Dave Grohl declined an offer to join this band as drummer and instead started the Foo Fighters.		4	Tom Petty and the Heartbreakers
199	Which pop princess teamed up with goth-punk rocker Nick Cave on the murder ballad "Where the Wild Roses Grow"?		4	Kylie Minogue
200	In his last live performance, John Lennon joined this artist at Madison Square Garden for three songs, including "I Saw Her Standing There".		4	Elton John
201	What is the only band to have every one of their original albums reach the Billboard Top Ten?		4	Led Zeppelin
202	Sigmund Freud		2	Cocaine
203	Jackson Pollack		2	Alcohol
204	Michael Phelps		2	Marijuana
205	Judy Garland		2	Barbituates
206	Tim Allen		2	Cocaine
207	Aldus Huxley		2	LSD
208	Phillip Seymour Hoffman		2	Opioids
209	Whitney Houston		2	Crack
210	Kurt Cobain		2	Heroin
211	Frieda Kahlo		2	Morphine, Alcohol, Painkillers
212	A year after this band's 1987 album Appetite for Destruction was released, it reached #1 on Billboard 200 selling 30 million copies worldwide.		5	Guns & Roses
213	This English new wave/synthpop band led the MTV driven "Second British Invasion" of the US. They were also known for their controversial videos.		5	Duran Duran
214	This Los Angeles based heavy metal band was formed in 1981 when James Hatfield responded to a newspaper ad placed by Lars Ulrich.		5	Metallica
215	This band is referred to as the "bad boys from Boston" and "America's greatest rock band". They are known for incorporating hard rock, glam metal, pop , and rhythm & blues in their music.		5	Aerosmith
216	This Australian rock band released the album "Kick" in 1987.		5	INXS
217	This American hair band reached multiplatinum with their 1986 album "Look What the Cat Dragged In" and hit their peak with the follow up album "Open Up and Say Ahh".		5	Poison
218	This English rock band formed in 1982 and maintains a cult following. The band's singer is a strict vegetarian and urged fans to be meat-abstinent in their song "Meat is Murder".		5	The Smiths
219	Irish rock band known for their songs "I Still Haven't Found What I'm Looking For", "Sunday Bloody Sunday", and "With or Without You".		5	U2
220	This English rock has experienced several line-up changes leaving vocalist Robert Smith the band's only constant member.		5	The Cure
221	This English heavy metal band was formed in London by bassist Steve Harris in 1975.		5	Iron Maiden
222	Debit Cards were predicted in 1888 by this author's novel Looking Backward.		5	Edward Bellamy
223	Tanks were predicted in this author's 1903 story: The Land Ironclads		5	H.G. Wells
224	Earbuds were predicted by this author's 1953 novel: Fahrenheit 451.		5	Ray Bradbury
225	Video chat was predicted by this author's 1911 Modern Electrics article: Ralph 124c 41+		5	Hugo Gernsback
226	The moon landing was predicted by this author's 19th century novel: From the Earth to the Moon.		5	Jules Verne
227	Nuclear war annihilation was predicted by this author's 1940 short story: Solution Unsatisfactory.		5	Robert Heinlein
228	Antidepressants were predicted by this author's 1931 novel: Brave New World.		5	Aldous Huxley
229	Pervasive government surveillance was predicted by this author's 1949 novel: 1984.		1	George Orwell
230	Geosynchronous satellites were predicted by this author's 1945 manuscript: The Space Station: Its Radio Applications		5	Arthur C. Clarke
231	President Obomi, school shootings, terrorism, electric cars, Detroit techno, and hookup culture were predicted by this author's 1969 novel: Stand on Zanzibar.		5	John Brunner
232	This bands guitarist Ty Longley was among the 100 people who died after indoor pyrotechnics started a fire at the station nightclub in Rhode Island in 2003.		4	Great White
233	In 2004, this ex-Pantera guitarist was murdered on-stage while performing in Columbus, Ohio.		4	"Dimebag" Darrel Abbott
234	In 2006, this man was stung and killed by a stingray while filming the underwater documentary Ocean's Deadliest.		4	Steve Irwin (the Crocodile Hunter)
235	Name the American guitarist of the bands Ministry, Revolting Cocks, and Rigor Mortis who suffered a heart attack during a 2012 Rigor Mortis performance and later died.		4	Mike Scaccia
236	In June 2013, this Cirque Du Soleil acrobat died after a harness failure caused her to plummet 90 feet during a performance of Ka at the MGM Grand.		1	Sarah Guyard-Guillot
237	This former Megadeth drummer died in May of this year while performing with his new band OHM at The Baked Potato in LA.		1	Nick Menza
238	This former Three's Company star died while rehearsing a scene for the ABC sitcom 8 Simple Rules for Dating My Teenage Daughter in 2003.		4	John Ritter
239	Name the bassist and lead vocalist for the band Morphine who died on stage of heart failure in Italy in 1999.		4	Mark Sandman
240	The on-set death of this comic was initially thought to be an act because his character Fred Sanford was famous for faking heart attacks.		4	Red Foxx
241	Contrary to urban legend, the footage of this actor's fatal accident during the filming of The Crow was not kept in the final film.		4	Brandon Lee
242	"I like my money right where I can see it, hanging in my closet." Carrie Bradshaw or Kanye West?		4	Carrie Bradshaw
243	"I don't do fashion, I am fashion." Coco Chanel or Kanye West?		4	Coco Chanel
244	"You can have anything you want in life if you dress for it." Edith Head or Kanye West		4	Edith Head
245	"I don't see why I need a stylist when I shop so much I can speak Italian." Lauren Hutton or Kanye West?		4	Kanye West
246	"I'm a slave to fashion. I love it. I love it. I've loved it since age 5." Coco Chanel or Kanye West?		4	Kanye West
247	"Spending everything on Alexander Wang." Lady Gaga or Kanye West?		4	Kanye West
248	"Versace is the greatest designer of all time." Rachel Zoe or Kanye West?		4	Kanye West
249	"I don't design clothes. I design dreams." Ralph Lauren or Kanye West?		4	Ralph Lauren
250	"Style is knowing who you are, what you want to say, and not giving a damn." Orson Welles or Kanye West?		4	Orson Welles
251	"If you're going to be two faced at least make one of them pretty." Marilyn Monroe or Kanye West?		4	Marilyn Monroe
252	This Cuban nationalist, politician, revolutionary, Marxist-Leninist once served as prime minister and president of Cuba. Under his administration, Cuba became a one-party communist state.		8	Fidel Castro
253	He is the world's youngest head of state and despite no formal military training, the head of one of the largest armies in the world. He allegedly detonated a hydrogen bomb for his birthday and executed his uncle. He also has his own hand-picked girl band called Moranbong.		8	Kim Jong-Un
254	An American serial killer who actively killed children for sexual gratification between 1924-1932. He was known as the Gray Man, the Werewolf of Wysteria, and the Boogey Man.		2	Albert Fish
255	This 1930's bank robber us responsible for killing more FBI agents in the line of duty than any other person. He himself was shot by the FBI during the "Battle of Barrington".		2	Baby Face Nelson
256	This Russian peasant and mystical faith healer was once a twisted friend of Nicholas II, Tsar of Russia. His name has become synonymous with debauchery, evil, and lust.		2	Rasputin
257	This member of a wealthy Saudi-Arabian family founded Al-Qaeda. During the war on terror, the FBI placed a $25 mil. bounty on this SOB.		2	Osama Bin-Laden
258	The first documented American serial killer, he owned a hotel he designed specifically for murder. He confessed to 27 murders, 9 of which were confirmed but he was suspected of over 200 murders.		2	H.H. Holmes
259	Name the POS responsible for the following quotes: #1 (Good Morning America) "Part of the beauty of me is that I'm very rich.", #2 (Twitter) "If Hillary Clinton can't satisfy her husband, what makes her think she can satisfy America?" #3 (Howard Stern) "No, I'm not into anal."		2	Donald Trump
260	This 22 year old Canadian singer-songwriter and super-douche has been known for his shitty behavior. Including but not limited to: #1 Abandoning a pet monkey in Germany, #2 Bringing a 20 friend entourage to host SNL, #3 Egging his neighbors home, #4 Dodging court-ordered community service citing "ankle pain" as the reason.		4	Justin Beiber
261	This man was a Columbian drug lord and trafficker. He was also the wealthiest criminal in history. He supplied the US with over 80% of its cocaine and was estimated to have made $60 mil. a day. He was known as the King go Cocaine.		2	Pablo Escobar
262	Chachalaca		9	Bird
263	Tragopan		9	Bird
264	Chilean Flamingo		9	Bird
265	American Nutbush		5	Dance
266	French Torsion		5	Dance
267	Bermuda Flicker		9	Bird
268	Watusi		5	Dance
269	Scottish Hornpipe		5	Dance
270	Capoeira		5	Dance
271	Back-Faced Go-Away Bird		9	Bird
272	Which animals are responsible for more US deaths per year on average: sharks, cows, rattlesnakes, poisonous spiders?		9	Cows
